Tender,Company,Procurement,Notice,Location,Closing,Value,Date
Projen Holidays Ltd- Solar Panel and Battery System,PROJEN HOLIDAYS LIMITED,  Opportunity,  Open,  South West,"  28 May 2024,  5pm","  £80,000 to £90,000","  26 April 2024, last edited 14 May 2024"
Construction Development Survey for British Embassy Dubai,Foreign Commonwealth and Development Office,  Opportunity,  Open,  Any region,"  31 May 2024, 10am","  £100,000","   2 May 2024, last edited 14 May 2024"
eITT for the Provision of Tenant Satisfaction Measures - Tenant Perception Surveys,New Forest District Council,  Opportunity,  Open,  United Kingdom,"  11 June 2024, 12pm","  £70,000 to £80,000",  14 May 2024
Independent Reviewing Officers (IRO) and Foster Carer Reviewing Officers (FCRO),London Borough of Brent,  Opportunity,  Open,  England,"  12 June 2024,  1pm","  £716,000",  13 May 2024
HBC0524  2024 INSURANCE LOTS 1-5,Hertsmere Borough Council,  Opportunity,  Open,  WD6 1WA,"  13 June 2024, 12pm","  £500,000 to £2,000,000",  13 May 2024
PROVISION OF BULK WATER DELIVERY FOR BRITISH EMBASSY HARARE,Foreign Commonwealth and Development Office,  Opportunity,  Open,  SW1A 2AH,"   3 June 2024,  2pm","  £75,000",  13 May 2024
TOWER HAMLETS SELF MANAGEMENT SUPPORT SERVICE,N E L Commissioning Support Unit,  Opportunity,  Open,  London,"   3 June 2024,  5pm","  £545,025 to £577,725",  13 May 2024
RFI0031-B FLIGHT DATA MONITORING (FDM) - PROVISION OF GDRAS,Ministry of Defence,  Early engagement,  Open,  Any region,  28 May 2024,Publication date 13 May 2024,None
Harehill Extra Care Housing,Rochdale Metropolitan Borough Council,  Opportunity,  Open,  England,"  13 June 2024, 12pm","  £1,650,000",  13 May 2024
LUV01243 UoL Student Assistance Programme,University of Leicester,  Opportunity,  Open,  East Midlands,"  14 June 2024,  3pm","  £250,000",  13 May 2024
Merchant Acquirer and Gateway,General Medical Council (GMC),  Opportunity,  Open,  Any region,"  14 June 2024, 12pm",  £0,  13 May 2024
Career Framework Development for the Further Education Sector,The Education and Training Foundation,  Opportunity,  Open,"  North East, Yorkshire and the Humber, North West, East Midlands, West Midlands, East of England, South East, South West, London","  10 June 2024,  4pm","  £0 to £68,000",  13 May 2024
Swan House Housing Management,NORTH EAST LINCOLNSHIRE COUNCIL,  Opportunity,  Open,  Yorkshire and the Humber,"  12 June 2024, 12pm","  £0 to £1,620,000",  13 May 2024
GREEN SKILLS' TO SUPPORT BUSINESSES TRANSITION TO A NET-ZERO FUTURE,Basildon  Borough Council,  Opportunity,  Open,  East of England,"   7 June 2024, 12pm","  £299,999",  13 May 2024
Appointment for Design and Build Works on Royal Navy Submarine Museum Memorial Wall,THE NATIONAL MUSEUM OF THE ROYAL NAVY,  Opportunity,  Open,  PO12 2AS,"  18 June 2024, 12pm","  £130,000 to £180,000",  13 May 2024
GB-London: Modelling the funding implications of Government waste reforms on local government,Local Government Association,  Opportunity,  Open,  London,"  24 May 2024, 12pm","  £10,000 to £25,000",  13 May 2024
Community Health Partnerships - Provision of Soft FM Helpdesk Services,Community Health Partnerships Limited,  Opportunity,  Open,  M1 3LD,"  21 June 2024, 12pm","  £450,000",  13 May 2024
"Bathroom Replacement Planned Works - East, South & Yorkshire",Accent Housing- e-Tendering System,  Opportunity,  Open,  BD1 4AS,"   7 June 2024,  5pm",  £0,"  13 May 2024, last edited 13 May 2024"
CA14058 - Big Creative Academy - Outsourced Catering Services,Big Creative Academy,  Opportunity,  Open,  E17 5SD,"  28 June 2024,  5pm","  £300,000",  13 May 2024
Agency Recruitment Services Tender,UNIVERSITY OF DERBY,  Opportunity,  Open,  East Midlands,"  12 June 2024, 12pm","  £2,000,000",  13 May 2024
"13411 - Demolition and Associated Works Oscott Manor School, Old Oscott Hill, Kingstanding, Birmingham B44 9SP",Birmingham City Council,  Opportunity,  Open,  B4 7DJ,"   7 June 2024, 12pm",  £0,  13 May 2024
Provision of Logistic Bags and Wraps,FCDO Services,  Early engagement,  Open,  South East,  27 May 2024,Publication date 13 May 2024,None
East Lindsey District Council Request for Quotation: Provision of Annual Canvass services - Visits to properties and hand delivery of follow up electoral registration forms,PSPSL,  Opportunity,  Open,  LN9 6PH,"  17 June 2024,  4pm",  £0,  13 May 2024
"WP3991: Waste Treatment and Disposal Services - Soil and Rubble, Ceramics, Plasterboard Waste",Walsall Council e-Tendering,  Opportunity,  Open,  WS1 1TP,"  13 June 2024, 12pm",  £0,  13 May 2024
Birmingham Women's Hospital Maternity Simulation Suite Works,University Hospitals Birmingham NHS Foundation Trust,  Opportunity,  Open,  West Midlands,"   3 June 2024, 12pm","  £750,000",  13 May 2024
Taunton Town Council Office Fit Out,Taunton Town Council,  Opportunity,  Open,  TA1 1HE,"   5 June 2024,  4:01pm","  £50,000 to £120,000","  13 May 2024, last edited 13 May 2024"
Planned Bus Disruptions - Notice of Events (NOE),Transport for London,  Early engagement,  Open,  London,  17 June 2024,Publication date 13 May 2024,None
Upcoming ITT ntoice: Procurement Partner to support the Commissioning of Services to Young People,National Citizen Service,  Future opportunity,  Open,  Any region,Approach to market date 24 May 2024,"  £300,000",  13 May 2024
"The Provision, Service and Maintenance Of Plumbed In Water Coolers",Nottinghamshire County Council,  Opportunity,  Open,  England,"  10 June 2024, 11:59pm","  £80,000",  13 May 2024
"GB-London: Lead Facilitator, Special Interest Group on Countering Extremism",Local Government Association,  Opportunity,  Open,  London,"  31 May 2024,  5pm","  £10,000 to £25,000",  13 May 2024
Media Buying Services for NCG,NCG Corporation,  Opportunity,  Open,  Any region,"  13 June 2024, 12pm","  £1,300,000",  13 May 2024
CORNISH MANORS - EXTERNAL DECORATIONS & REPAIRS TO COMMUNAL PARTS,Medway Council,  Opportunity,  Open,  England,"   7 June 2024, 12pm","  £400,000",  13 May 2024
RFI - Procurement of commercial end to end solution for Immunocompromised assays,UK Health Security Agency,  Early engagement,  Open,  BS10 5NB,  27 May 2024,Publication date 13 May 2024,None
Park and Ride Market Engagement 2024,Cheshire west and Chester Borough Council,  Early engagement,  Open,  England,  30 May 2024,Publication date 13 May 2024,None
PAN3051 - Loft & Cavity Insulation and Associated works,Leicester City Council,  Opportunity,  Open,  England,"  12 June 2024, 12pm","  £1,000,000",  13 May 2024
Provision of Traffic Management,Via East Midlands,  Opportunity,  Open,  England,"  21 June 2024, 11am","  £4,000,000",  13 May 2024
GMP Electrical Works NOCAB - 23/24 - UK,FCDO Services,  Opportunity,  Open,  MK19 7BH,"  28 June 2024,  1pm",  £0,  13 May 2024
Installation and maintenance of Festive Lights 2024 - 2025,North Tyneside Council,  Opportunity,  Open,  England,"  31 May 2024, 12pm","  £70,000","  13 May 2024, last edited 13 May 2024"
Provision of Pest Control Services,Gloucestershire County Council,  Opportunity,  Open,  England,"  10 June 2024,  5pm","  £100,000",  13 May 2024
"Framework Agreement for The Provision of Management, Collection, Slaughter, Salvage and Disposal Of Farmed Livestock For TB Control Purposes (""Reactor Removal"")",NA,  Early engagement,  Open,  LS11 9AT,  31 May 2024,Publication date 13 May 2024,None
PE2023-24/3293 Virtual Platform for Student Engagement,University of Leeds,  Opportunity,  Open,  Yorkshire and the Humber,"  18 June 2024, 12pm","  £250,000",  13 May 2024
CBC-1678-T-TS Structural and Groundwork Repairs,Central Bedfordshire Council,  Opportunity,  Open,  SG17 5TQ,"   7 June 2024, 11am",  £0,  13 May 2024
Provision of cleaning/janitorial products and operational supplies,Gloucestershire County Council,  Opportunity,  Open,  England,"  12 June 2024,  5pm","  £300,000",  13 May 2024
Invitation to Tender for the provision of Habilitation Services to Visually Impaired Children and Young People,Herefordshire Council,  Opportunity,  Open,  England,"  10 June 2024, 12pm","  £102,500",  13 May 2024
Tender for Sherwood Avenue Active and Wheeled Sports Area Redevelopment for Newark and Sherwood District Council,Newark & Sherwood District Council,  Opportunity,  Open,  NG24 1BY,"  12 July 2024, 12pm","  £200,000 to £250,000",  13 May 2024
Provision of Monthly Scaffolding Assurance Inspections Audits,City of Doncaster Council,  Opportunity,  Open,  DN1 3BU,"  12 June 2024, 12pm",  £0,  13 May 2024
Specialist Munitions Test House,Ministry of Defence,  Opportunity,  Open,  SP4 0JQ,"  10 June 2024,  5pm","  £150,000",  13 May 2024
"Asbestos Surveys - Capital, Repairs and Compliance 24 - 29",Onward Homes,  Opportunity,  Open,  M21 7QY,"  13 June 2024, 12:01pm",  £0,  13 May 2024
Cornelius Vermuyden School ~ Catering Tender,Cornelius Vermuyden School,  Opportunity,  Open,  East of England,"  21 June 2024, 12pm","  £1,600,000",  13 May 2024
Framework for the supply of Accident and Repair Services,Hampshire County Council,  Opportunity,  Open,  SO238UJ,"  28 June 2024,  2pm","  £1,000,000 to £2,500,000",  13 May 2024
BHCC Ageing Well 2025,Brighton & Hove City Council,  Early engagement,  Open,  South East,   4 June 2024,Publication date 13 May 2024,None
AP2337 - Temporary Heating and Hot Water Solutions - Hire,Scape Group Limited (trading as SCAPE),  Opportunity,  Open,  Yorkshire and the Humber,"  21 June 2024,  2pm","  £640,000",  13 May 2024
PIN - RIF Replacement Frameworks (IDEF & ISWF),Nuclear Waste Services,  Early engagement,  Open,  CA20 1DB,  24 May 2024,Publication date 13 May 2024,None
A Prior Information Notice concerning a Market Engagement event in connection with a forthcoming tender for a Water Quality Monitoring and Analytical Services including the carrying out of Mechanical and Electrical Asset Lifecycle Condition Surveying.,Southampton City Council,  Early engagement,  Open,  South East,  28 May 2024,"Publication date 13 May 2024, last edited 13 May 2024",None
Contract for the Provision of a Consultation and Engagement System,Durham County Council,  Opportunity,  Open,  England,"  14 June 2024, 12pm","  £20,000",  13 May 2024
Bletchley & Fenny Stratford Highstreet Footfall Monitoring,Milton Keynes Council,  Opportunity,  Open,  MK9 3EJ,"  29 May 2024, 12pm",  £0,"   7 May 2024, last edited 13 May 2024"
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Parks,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"  29 May 2024, 10am",  £0,  13 May 2024
Celtic Sea Floating Offshore Wind - Industry Delivery Plans (Inter-array Cables),CELTIC SEA POWER LIMITED,  Opportunity,  Open,"  United Kingdom, Isle of Man, Channel Islands","   5 June 2024,  5pm","  £30,000","   3 May 2024, last edited 13 May 2024"
Provision of Insurance and related services to Castles & Coasts Housing Association,Castles & Coasts Housing Association,  Opportunity,  Open,  Any region,"  12 June 2024,  5pm","  £3,915,000",  13 May 2024
UK Holocaust Memorial and Learning Centre - Graphic Design Services,"Department for Levelling Up, Housing and Communities",  Opportunity,  Open,  SW1P 4DF,"  31 May 2024,  1pm","  £10,000 to £25,000","   7 May 2024, last edited 13 May 2024"
"Bickleigh Parish Council The Council Office The Woolwell Centre Darklake Lane Woolwell Plymouth PL6 7TR 07508 324699 parishclerk@bickleigh.gov.uk TENDER FOR THE RENEWAL AND UPGRADE OF THE ELECTRICAL & MECHANICAL BUILDING SERVICES INCLUSIVE OF BUILDERS WORK IN CONNECTION AT THE WOOLWELL CENTRE ASSOSIATED WITH THE HEATING, DOMESTICS & MAIN HALL VENTILATION SYSTEM..",Bickleigh Parish Council,  Opportunity,  Open,  PL6 7TR,"   3 June 2024,  5pm","  £50,000 to £100,000",  13 May 2024
Buildings Based Day Care,Lincolnshire County Council,  Opportunity,  Open,  East Midlands,"  12 June 2024,  9am","  £5,127,570",  13 May 2024
4154.LMS.SW.24 ULT Freezers,UNIVERSITY OF SHEFFIELD,  Opportunity,  Open,  Yorkshire and the Humber,"   7 June 2024, 12pm","  £400,000",  13 May 2024
"Expression of Interest - Homeless Hostels, Housing First and Support Services",Thurrock Council,  Early engagement,  Open,  RM17 6SL,  13 August 2024,"Publication date 10 May 2024, last edited 13 May 2024",None
CA14095 - Tender for fire alarm end of life project for Queens Drive Campus,New College Swindon,  Opportunity,  Open,  SN3 1AH,"  17 June 2024, 10am",  £0,  13 May 2024
Research on Direct Air Carbon Capture: what is the global abatement potential?,DESNZ,  Early engagement,  Open,  SW1A 2AW,  22 May 2024,Publication date 13 May 2024,None
Community Woodlands Track Upgrade,PIGSHILL & CLARRICK WOODS COMMUNITY INTEREST COMPANY,  Opportunity,  Open,  PL10 1LA,"  10 June 2024,  5pm","  £55,000 to £70,000","  13 May 2024, last edited 13 May 2024"
SOFT MARKET TEST: Localised Housing Options & Advice Services,Sheffield City Council,  Opportunity,  Open,  Yorkshire and the Humber,"   7 June 2024, 12pm",  £0,  13 May 2024
Evaluation of London Climate Finance Facility Market Engagement,Transport for London,  Early engagement,  Open,  United Kingdom,  30 May 2024,Publication date 13 May 2024,None
HSE RFQ - PRS high flow equipment and ancillaries,Health & Safety Executive,  Opportunity,  Open,  SK17 9JN,"  23 May 2024,  1pm","  £1,000 to £54,166.66",  13 May 2024
Small Works Maintenance Framework 2024,University of Bristol,  Opportunity,  Open,  BS2 8BB,"  14 June 2024, 12pm","  £5,000",  13 May 2024
"Commercial Plant, Pipework and Ventilation Servicing & Repairs Services",Canterbury City Council,  Opportunity,  Open,  England,"  13 June 2024, 12pm","  £1,200,000",  13 May 2024
AT1309 - Local Transport Plan,Luton Council,  Opportunity,  Open,  LU1 2RD,"  12 June 2024,  5pm","  £150,000",  13 May 2024
LDC-334 Waste Vehicles,Lichfield District Council,  Opportunity,  Open,  England,"  13 June 2024, 12pm","  £11,600,000",  13 May 2024
Domestic Homicide Review Chairs,Plymouth City Council,  Opportunity,  Open,  England,"  10 June 2024, 12pm","  £36,000",  13 May 2024
Supply and Install Flat Roofs - Springvale,GreenSquareAccord,  Opportunity,  Open,  SN14 0GU,"  28 May 2024,  8am","  £0 to £12,095,675","   5 April 2024, last edited 13 May 2024"
Lease of up to 2 MMO Offshore Patrol Vessels,Marine Management Organisation,  Opportunity,  Open,"  East Midlands, East of England, London, North East, North West, Scotland, South East, South West, Wales, West Midlands, Yorkshire and the Humber, Northern Ireland, Channel Islands","  24 June 2024, 12pm","  £14,000,000 to £32,200,000",  13 May 2024
Facilities Management,Bolsover District Council,  Opportunity,  Open,  S43 4JY,"  10 June 2024, 12pm",  £0,  13 May 2024
Independent Financial Audit of EU LIFE funded Project - LIFE Recreation ReMEDIES (LIFE18 NAT/UK00039),Natural England,  Opportunity,  Open,  United Kingdom,"  10 June 2024, 12pm","  £5,000 to £12,000",  13 May 2024
Light Touch Regime - Tender for the Provision of Care Services and Facilities Management for the Elderly Care Services,GOVERNMENT OF GIBRALTAR,  Opportunity,  Open,  Gibraltar,"  12 June 2024, 10am","  £7,200,000 to £8,900,000",  13 May 2024
RBGKEW1309 Long-Read Ash Genome Sequencing 2024,"Royal Botanic Gardens, Kew",  Opportunity,  Open,  London,"  13 June 2024, 12pm","  £167,000",  13 May 2024
CA14093 - Mid and South Essex Dynamic Purchasing System - Bridging capacity services (REPLACES CA14090),MSE Group,  Opportunity,  Open,  SS2 6GE,"  12 June 2024, 12pm","  £100,000,000",  13 May 2024
Professional Services of Evaluation Consultant/Consultancy for Winter Gardens Project,East Suffolk Council,  Opportunity,  Open,  NR30 2QF,"   7 June 2024,  3pm","  £0 to £65,000",  13 May 2024
Non-Medical Help Student Support,UNIVERSITY OF SOUTHAMPTON,  Opportunity,  Open,  SO17 1BJ,"  27 June 2024, 12pm","  £300,000 to £360,000",  13 May 2024
